Date,Department,Item Group,Item Name,Business Group,Quantity,Sales Price,Gross Amount,Line Discount Amount,Line Discount Percent,Net Amount,Tax Amount,Invoice Amount,WeekInYear,Batch Number,Outlet Region,Country Code,Channel Name,Sales Tax Group,Customer Classification Group
12/1/2021,MASS,Food,Ritter Sport Dark Whole Hazelnuts,FOOD,20,"43,000.00","860,000.00",0,20,"688,000.00","68,800.00","756,800.00",49,20220817,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,"Familia  Swiss Choco Teddy 250g
",FOOD,3,"126,000.00","378,000.00",0,0,"378,000.00","37,800.00","415,800.00",49,20230318,South,CHE,General Trade,TP-HCM,GT_South
12/1/2021,MASS,FOOD,La Boulangere 8 plain Tortilla 320g,FOOD,1,"68,587.00","68,587.00",0,0,"68,587.00","6,858.70","75,445.70",49,20221230,South,FRA,Modern Trade,TP-HCM,AGM
12/1/2021,HORECA,Food,Haagen Dazs Green Tea Minicup (100ml),FOOD,2,"57,000.00","114,000.00",0,0,"114,000.00","11,400.00","125,400.00",49,20221006,South,,Horeca,TP-HCM,Horeca_South
12/1/2021,MASS,Food,Haagen Dazs Blueberry & Cream Minicup (100ml),FOOD,3,"57,000.00","171,000.00",0,0,"171,000.00","17,100.00","188,100.00",49,20221010,South,,Modern Trade,TP-HCM,CircleK_South
12/1/2021,MASS,Food,Lindt Excellence Intense Orange Chocolate Tablet (100g),FOOD,12,"94,000.00","1,128,000.00",0,7,"1,049,040.00","104,904.00","1,153,944.00",49,20220731,South,,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Haribo Goldbears 200g,FOOD,10,"51,900.00","519,000.00",0,0,"519,000.00","51,900.00","570,900.00",49,20221215,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,Barilla Sauce Basilico (400g),FOOD,6,"79,600.00","477,600.00",0,0,"477,600.00","47,760.00","525,360.00",49,20230406,South,,Modern Trade,TP-HCM,BigC
12/1/2021,HORECA,BEVERAGE,La Vie Glass Bottle Still 450ml,BEVERAGE,60,"23,000.00","1,380,000.00","12,810.00",0,"611,400.00","61,140.00","672,540.00",49,20220511,South,VNM,Horeca,TP-HCM,PaccGroup
12/1/2021,MASS,Food,Barilla Pasta Linguine - 500g,FOOD,100,"47,000.00","4,700,000.00",0,0,"4,700,000.00","470,000.00","5,170,000.00",49,20240213,South,,General Trade,TP-HCM,GT_South
